fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,symbol
2021-09-30,USD,35174000000,82688000000,53802000000,48186000000,23786000000,5616000000,5772000000,11388000000,659000000,-672000000,659000000,672000000,83360000000,-525000000,None,2989000000,23248000000,2697000000,672000000,20551000000,20656000000,23920000000,26909000000,20551000000,AAPL
2021-06-30,USD,35255000000,80769000000,51591000000,46179000000,24126000000,5412000000,5717000000,11129000000,719000000,-665000000,719000000,665000000,81434000000,189000000,None,2832000000,24369000000,2625000000,665000000,21744000000,22088000000,25034000000,27866000000,21744000000,AAPL
2021-03-31,USD,38079000000,88914000000,56819000000,51505000000,27503000000,5314000000,5262000000,10576000000,718000000,-670000000,718000000,670000000,89584000000,460000000,None,2797000000,28011000000,4381000000,670000000,23630000000,23165000000,28681000000,31478000000,23630000000,AAPL
2020-12-31,USD,44328000000,110801000000,72742000000,67111000000,33534000000,5631000000,5163000000,10794000000,747000000,-638000000,747000000,638000000,111439000000,-64000000,None,2666000000,33579000000,4824000000,638000000,28755000000,29340000000,34217000000,36883000000,28755000000,AAPL
2020-09-30,USD,24689000000,64698000000,44945000000,40009000000,14775000000,4936000000,4978000000,9914000000,768000000,-634000000,134000000,634000000,64698000000,-8000000,None,2702000000,14901000000,2228000000,634000000,24689000000,12817000000,15535000000,18237000000,12673000000,AAPL
2020-06-30,USD,22680000000,58988000000,41836000000,37005000000,13091000000,4831000000,4758000000,9589000000,901000000,-697000000,901000000,697000000,59685000000,-158000000,None,2752000000,13137000000,1884000000,697000000,11253000000,13492000000,13834000000,16586000000,11253000000,AAPL
2020-03-31,USD,22370000000,57556000000,40895000000,35943000000,12853000000,4952000000,4565000000,9517000000,1049000000,-757000000,1049000000,757000000,58313000000,-10000000,None,2786000000,13135000000,1886000000,757000000,11249000000,8878000000,13892000000,16678000000,11249000000,AAPL
2019-12-31,USD,35217000000,91034000000,61799000000,56602000000,25569000000,5197000000,4451000000,9648000000,1045000000,-785000000,1045000000,785000000,91819000000,89000000,None,2816000000,25918000000,3682000000,785000000,22236000000,22266000000,26703000000,29519000000,22236000000,AAPL
2019-09-30,USD,24313000000,64040000000,44305000000,39727000000,15625000000,4578000000,4110000000,8688000000,1106000000,-810000000,1106000000,810000000,64040000000,206000000,None,3179000000,16127000000,2441000000,810000000,24313000000,13741000000,16937000000,20116000000,13686000000,AAPL
2019-06-30,USD,20227000000,52943000000,38008000000,33582000000,11544000000,4426000000,4257000000,8683000000,1190000000,-866000000,1190000000,866000000,53809000000,43000000,None,2933000000,11911000000,1867000000,866000000,10044000000,10904000000,12777000000,15710000000,10044000000,AAPL
2019-03-31,USD,21821000000,57005000000,40652000000,36194000000,13415000000,4458000000,3948000000,8406000000,1358000000,-1010000000,1358000000,1010000000,58015000000,30000000,None,3040000000,13793000000,2232000000,1010000000,11561000000,13650000000,14803000000,17843000000,11561000000,AAPL
2018-12-31,USD,32031000000,83420000000,57062000000,52279000000,23346000000,4783000000,3902000000,8685000000,1307000000,-890000000,None,890000000,84310000000,143000000,None,3395000000,23906000000,3941000000,890000000,19965000000,19742000000,24796000000,28191000000,19965000000,AAPL
2018-09-30,USD,24084000000,62900000000,38816000000,38816000000,16118000000,4216000000,3750000000,7966000000,1311000000,-868000000,None,868000000,62900000000,-140000000,None,2754000000,16421000000,2296000000,868000000,24084000000,13782000000,17289000000,20043000000,14125000000,AAPL
2018-06-30,USD,20421000000,53265000000,32844000000,32844000000,12612000000,4108000000,3701000000,7809000000,1418000000,-846000000,None,846000000,53265000000,100000000,None,2665000000,13284000000,1765000000,846000000,11519000000,11472000000,14130000000,16795000000,11519000000,AAPL
2018-03-31,USD,23422000000,61137000000,37715000000,37715000000,15894000000,4150000000,3378000000,7528000000,1505000000,-792000000,None,792000000,61137000000,-439000000,None,2739000000,16168000000,2346000000,792000000,13822000000,11877000000,16960000000,19699000000,13822000000,AAPL
2017-12-31,USD,33912000000,88293000000,54381000000,54381000000,26274000000,4231000000,3407000000,7638000000,1452000000,-734000000,None,734000000,88293000000,38000000,None,2745000000,27030000000,6965000000,734000000,20065000000,19374000000,27764000000,30509000000,20065000000,AAPL
2017-09-30,USD,19931000000,52579000000,32648000000,32648000000,13120000000,3814000000,2997000000,6811000000,1368000000,-666000000,None,666000000,None,95000000,None,2484000000,13917000000,3203000000,666000000,19931000000,11109000000,14583000000,17067000000,10714000000,AAPL
2017-06-30,USD,17488000000,45408000000,27920000000,27920000000,10768000000,3783000000,2937000000,6720000000,1327000000,-602000000,None,602000000,None,-185000000,None,2354000000,11308000000,2591000000,602000000,17488000000,8594000000,11910000000,14264000000,8717000000,AAPL
2017-03-31,USD,20591000000,52896000000,32305000000,32305000000,14097000000,3718000000,2776000000,6494000000,1282000000,-530000000,None,530000000,None,-165000000,None,2332000000,14684000000,3655000000,530000000,20591000000,10362000000,15214000000,17546000000,11029000000,AAPL
2016-12-31,USD,30176000000,78351000000,48175000000,48175000000,23359000000,3946000000,2871000000,6817000000,1224000000,-525000000,None,525000000,None,122000000,None,2987000000,24180000000,6289000000,525000000,17891000000,17502000000,24705000000,27692000000,17891000000,AAPL
2021-09-30,USD,31671000000,44743000000,20145000000,13646000000,20238000000,5834000000,5599000000,12098000000,520000000,-539000000,520000000,539000000,45282000000,6000000,None,665000000,20524000000,19000000,539000000,20505000000,19966000000,21063000000,21728000000,20505000000,MSFT
2021-06-30,USD,32161000000,45595000000,22025000000,13991000000,19095000000,7379000000,5687000000,13721000000,497000000,-553000000,497000000,553000000,46148000000,22000000,None,655000000,19405000000,2947000000,553000000,16458000000,16818000000,19958000000,20613000000,16458000000,MSFT
2021-03-31,USD,28661000000,41059000000,20070000000,13045000000,17048000000,6409000000,5204000000,12229000000,519000000,-633000000,519000000,633000000,41692000000,6000000,None,616000000,17236000000,1779000000,633000000,15457000000,13552000000,17869000000,18485000000,15457000000,MSFT
2020-12-31,USD,28882000000,42558000000,20907000000,14194000000,17897000000,6086000000,4899000000,11612000000,545000000,-571000000,545000000,571000000,43129000000,70000000,None,627000000,18337000000,2874000000,571000000,15463000000,15720000000,18908000000,19535000000,15463000000,MSFT
2020-09-30,USD,26152000000,36724000000,16941000000,11002000000,15876000000,5350000000,4926000000,10865000000,570000000,-589000000,None,589000000,37313000000,0,None,589000000,16124000000,2231000000,589000000,13893000000,13807000000,16713000000,17302000000,13893000000,MSFT
2020-06-30,USD,25694000000,38033000000,20161000000,12339000000,13407000000,7073000000,5214000000,13036000000,595000000,-686000000,None,686000000,38033000000,0,None,588000000,13422000000,2220000000,686000000,13407000000,11712000000,14108000000,14696000000,11202000000,MSFT
2020-03-31,USD,24046000000,34315000000,17650000000,10975000000,12975000000,6184000000,4887000000,11562000000,673000000,-614000000,-153000000,614000000,34929000000,-3000000,None,491000000,12843000000,2091000000,614000000,10752000000,13683000000,13457000000,13948000000,10752000000,MSFT
2019-12-31,USD,24548000000,36322000000,18986000000,12358000000,13891000000,6054000000,4603000000,11231000000,688000000,-654000000,281000000,654000000,36976000000,-19000000,None,574000000,14085000000,2436000000,654000000,11649000000,11455000000,14739000000,15313000000,11649000000,MSFT
2019-09-30,USD,22649000000,32428000000,16363000000,10406000000,12686000000,5398000000,4565000000,10522000000,724000000,-637000000,-139000000,637000000,33065000000,-18000000,None,559000000,12686000000,2008000000,637000000,10678000000,10957000000,13323000000,13882000000,10678000000,MSFT
2019-06-30,USD,23305000000,33717000000,17199000000,10412000000,12405000000,6387000000,4513000000,11300000000,709000000,-669000000,321000000,669000000,33717000000,-121000000,None,400000000,12596000000,-591000000,669000000,12405000000,14112000000,13265000000,13665000000,13187000000,MSFT
2019-03-31,USD,20401000000,29993000000,16345000000,10170000000,10341000000,5744000000,4316000000,10491000000,668000000,-671000000,None,671000000,30664000000,16000000,None,431000000,10486000000,1677000000,671000000,8809000000,9557000000,11157000000,11588000000,8809000000,MSFT
2018-12-31,USD,20048000000,31796000000,18673000000,12423000000,10258000000,5720000000,4070000000,10320000000,704000000,-672000000,None,672000000,32468000000,34000000,None,530000000,10385000000,1965000000,672000000,8420000000,9022000000,11057000000,11587000000,8420000000,MSFT
2018-09-30,USD,19179000000,28615000000,15708000000,9905000000,9955000000,5247000000,3977000000,9780000000,681000000,-674000000,None,674000000,29289000000,14000000,None,556000000,10221000000,1397000000,674000000,8824000000,8463000000,10895000000,11451000000,8824000000,MSFT
2018-06-30,USD,20343000000,30085000000,34165000000,9742000000,10379000000,6031000000,3933000000,10464000000,636000000,-672000000,None,672000000,30085000000,-61000000,None,500000000,10680000000,1807000000,672000000,10379000000,7797000000,11352000000,11852000000,8873000000,MSFT
2018-03-31,USD,17550000000,26819000000,9269000000,9269000000,8292000000,5543000000,3715000000,9818000000,575000000,-691000000,None,691000000,-52000000,7000000,None,560000000,8641000000,1217000000,691000000,7424000000,6670000000,9332000000,9892000000,7424000000,MSFT
2017-12-31,USD,17854000000,28918000000,11064000000,11064000000,8679000000,5671000000,3504000000,9737000000,530000000,-698000000,None,698000000,-144000000,34000000,None,562000000,9169000000,15471000000,698000000,-6302000000,-7227000000,9867000000,10429000000,-6302000000,MSFT
2017-09-30,USD,16260000000,24538000000,8278000000,8278000000,7708000000,4978000000,3574000000,9115000000,473000000,-672000000,None,672000000,-59000000,-39000000,None,563000000,7984000000,1408000000,672000000,6576000000,6475000000,8656000000,9219000000,6576000000,MSFT
2017-06-30,USD,17149000000,25605000000,8456000000,22227000000,7682000000,5711000000,3514000000,10131000000,403000000,-655000000,None,655000000,25605000000,-24000000,None,600000000,7958000000,-111000000,655000000,5330000000,7855000000,8613000000,9213000000,8069000000,MSFT
2017-03-31,USD,15152000000,23212000000,8060000000,3075000000,6723000000,5081000000,3355000000,8996000000,380000000,-609000000,None,609000000,-200000000,-40000000,None,560000000,7094000000,1608000000,609000000,4801000000,5675000000,7703000000,8263000000,5486000000,MSFT
2016-12-31,USD,15925000000,25826000000,9901000000,5378000000,7905000000,4950000000,3062000000,8327000000,311000000,-521000000,None,521000000,-128000000,-172000000,None,315000000,8022000000,1755000000,521000000,5200000000,4961000000,8543000000,8858000000,6267000000,MSFT
2021-09-30,USD,37307000000,64928000000,27621000000,27621000000,21031000000,8772000000,7694000000,16466000000,None,-77000000,387000000,77000000,65005000000,8000000,None,3304000000,23064000000,4128000000,77000000,18936000000,18338000000,23141000000,26445000000,18936000000,GOOG
2021-06-30,USD,35653000000,61880000000,26227000000,26227000000,19361000000,8617000000,7675000000,16292000000,None,-76000000,389000000,76000000,61960000000,-90000000,None,2945000000,21985000000,3460000000,76000000,18525000000,18718000000,22061000000,25006000000,18525000000,GOOG
2021-03-31,USD,31211000000,55314000000,24103000000,24103000000,16437000000,7289000000,7485000000,14774000000,None,-76000000,345000000,76000000,55519000000,373000000,None,2753000000,21283000000,3353000000,76000000,17930000000,17294000000,21359000000,24112000000,17930000000,GOOG
2020-12-31,USD,30038000000,56118000000,26080000000,26080000000,15651000000,8145000000,7022000000,15167000000,None,-53000000,386000000,53000000,-125497000000,-420000000,None,3725000000,18689000000,3462000000,53000000,15227000000,15814000000,18742000000,22467000000,15227000000,GOOG
2020-09-30,USD,25013000000,46130000000,21117000000,21117000000,11213000000,6987000000,6856000000,13843000000,None,-48000000,460000000,48000000,46178000000,-88000000,None,3478000000,13359000000,2112000000,48000000,11247000000,11589000000,13407000000,16885000000,11247000000,GOOG
2020-06-30,USD,19744000000,38297000000,18553000000,18553000000,6383000000,6486000000,6875000000,13361000000,None,-13000000,433000000,13000000,38761000000,-147000000,None,3386000000,8277000000,1318000000,13000000,6959000000,7760000000,8290000000,11676000000,6959000000,GOOG
2020-03-31,USD,22177000000,41159000000,18982000000,18982000000,7977000000,7380000000,6820000000,14200000000,None,-21000000,586000000,21000000,41310000000,18000000,None,3108000000,7757000000,921000000,21000000,6836000000,6971000000,7778000000,10886000000,6836000000,GOOG
2019-12-31,USD,24855000000,45569000000,21020000000,21020000000,9266000000,8567000000,7222000000,15789000000,None,-17000000,621000000,17000000,45892000000,-72000000,None,3413000000,10704000000,33000000,17000000,10671000000,10635000000,10721000000,14134000000,10671000000,GOOG
2019-09-30,USD,22935000000,40503000000,17568000000,17568000000,9177000000,7200000000,6554000000,13754000000,None,-23000000,631000000,23000000,40526000000,68000000,None,2920000000,8628000000,1560000000,23000000,7068000000,6963000000,8651000000,11571000000,7068000000,GOOG
2019-06-30,USD,21749000000,39045000000,17296000000,17296000000,9180000000,6255000000,6213000000,12468000000,None,-25000000,653000000,25000000,39070000000,53000000,None,2835000000,12147000000,2200000000,25000000,9947000000,10636000000,12172000000,15007000000,9947000000,GOOG
2019-03-31,USD,20327000000,36339000000,16012000000,16012000000,6608000000,5993000000,6029000000,12022000000,None,-35000000,1417000000,35000000,36453000000,53000000,None,2613000000,8146000000,1489000000,35000000,6657000000,7213000000,8181000000,10794000000,6657000000,GOOG
2018-12-31,USD,21358000000,39276000000,17918000000,17918000000,8221000000,7121000000,6034000000,13155000000,None,-29000000,None,29000000,40666000000,68000000,None,2580000000,10072000000,1124000000,29000000,8948000000,8318000000,10101000000,12681000000,8948000000,GOOG
2018-09-30,USD,19459000000,33740000000,14281000000,14281000000,8625000000,5917000000,5232000000,11149000000,None,-28000000,None,28000000,34059000000,49000000,None,2355000000,10083000000,891000000,28000000,9192000000,9041000000,10111000000,12466000000,9192000000,GOOG
2018-06-30,USD,18774000000,32657000000,13883000000,13883000000,3045000000,5782000000,5114000000,10896000000,None,-27000000,None,27000000,33145000000,49000000,None,2114000000,4215000000,1020000000,27000000,3195000000,2340000000,4242000000,6356000000,3195000000,GOOG
2018-03-31,USD,17679000000,31146000000,13467000000,13467000000,7633000000,5639000000,5039000000,10678000000,None,-30000000,None,30000000,31122000000,212000000,None,1986000000,10543000000,1142000000,30000000,9401000000,9821000000,10573000000,12559000000,9401000000,GOOG
2017-12-31,USD,18056000000,32323000000,14267000000,14267000000,7696000000,6086000000,4306000000,10392000000,None,-36000000,None,36000000,-20000000,43000000,None,2026000000,8018000000,11038000000,36000000,-3083000000,-3266000000,8054000000,256000000,-3020000000,GOOG
2017-09-30,USD,16624000000,27772000000,11148000000,11148000000,7782000000,4637000000,4205000000,8842000000,None,-27000000,None,27000000,-53000000,47000000,None,1761000000,7979000000,1247000000,27000000,6701000000,7714000000,8006000000,9767000000,6732000000,GOOG
2017-06-30,USD,15637000000,26010000000,10373000000,10373000000,4132000000,4597000000,4172000000,8769000000,None,-21000000,None,21000000,-46000000,34000000,None,1625000000,4377000000,853000000,21000000,3511000000,3965000000,4398000000,6023000000,3524000000,GOOG
2017-03-31,USD,14955000000,24750000000,9795000000,9795000000,6568000000,4445000000,3942000000,8387000000,None,-25000000,None,25000000,-2000000,34000000,None,1503000000,6819000000,1393000000,25000000,5377000000,5659000000,6844000000,8347000000,5426000000,GOOG
2016-12-31,USD,15403000000,26064000000,10661000000,10661000000,6639000000,5142000000,3622000000,8764000000,None,-33000000,None,33000000,-38000000,35000000,None,1687000000,6857000000,1524000000,33000000,5542000000,3963000000,6890000000,8577000000,5333000000,GOOG
2021-09-30,USD,37307000000,64928000000,27621000000,27621000000,21031000000,8772000000,7694000000,16466000000,None,-77000000,387000000,77000000,65005000000,8000000,None,3304000000,23064000000,4128000000,77000000,18936000000,18338000000,23141000000,26445000000,18936000000,GOOGL
2021-06-30,USD,35653000000,61880000000,26227000000,26227000000,19361000000,8617000000,7675000000,16292000000,None,-76000000,389000000,76000000,61960000000,-90000000,None,2945000000,21985000000,3460000000,76000000,18525000000,18718000000,22061000000,25006000000,18525000000,GOOGL
2021-03-31,USD,31211000000,55314000000,24103000000,24103000000,16437000000,7289000000,7485000000,14774000000,None,-76000000,345000000,76000000,55519000000,373000000,None,2753000000,21283000000,3353000000,76000000,17930000000,17294000000,21359000000,24112000000,17930000000,GOOGL
2020-12-31,USD,30038000000,56118000000,26080000000,26080000000,15651000000,8145000000,7022000000,15167000000,None,-53000000,386000000,53000000,-125497000000,-420000000,None,3725000000,18689000000,3462000000,53000000,15227000000,15814000000,18742000000,22467000000,15227000000,GOOGL
2020-09-30,USD,25013000000,46130000000,21117000000,21117000000,11213000000,6987000000,6856000000,13843000000,None,-48000000,460000000,48000000,46178000000,-88000000,None,3478000000,13359000000,2112000000,48000000,11247000000,11589000000,13407000000,16885000000,11247000000,GOOGL
2020-06-30,USD,19744000000,38297000000,18553000000,18553000000,6383000000,6486000000,6875000000,13361000000,None,-13000000,433000000,13000000,38761000000,-147000000,None,3386000000,8277000000,1318000000,13000000,6959000000,7760000000,8290000000,11676000000,6959000000,GOOGL
2020-03-31,USD,22177000000,41159000000,18982000000,18982000000,7977000000,7380000000,6820000000,14200000000,None,-21000000,586000000,21000000,41310000000,18000000,None,3108000000,7757000000,921000000,21000000,6836000000,6971000000,7778000000,10886000000,6836000000,GOOGL
2019-12-31,USD,24855000000,45569000000,21020000000,21020000000,9266000000,8567000000,7222000000,15789000000,None,-17000000,621000000,17000000,45892000000,-72000000,None,3413000000,10704000000,33000000,17000000,10671000000,10635000000,10721000000,14134000000,10671000000,GOOGL
2019-09-30,USD,22935000000,40503000000,17568000000,17568000000,9177000000,7200000000,6554000000,13754000000,None,-23000000,631000000,23000000,40526000000,68000000,None,2920000000,8628000000,1560000000,23000000,7068000000,6963000000,8651000000,11571000000,7068000000,GOOGL
2019-06-30,USD,21749000000,39045000000,17296000000,17296000000,9180000000,6255000000,6213000000,12468000000,None,-25000000,653000000,25000000,39070000000,53000000,None,2835000000,12147000000,2200000000,25000000,9947000000,10636000000,12172000000,15007000000,9947000000,GOOGL
2019-03-31,USD,20327000000,36339000000,16012000000,16012000000,6608000000,5993000000,6029000000,12022000000,None,-35000000,1417000000,35000000,36453000000,53000000,None,2613000000,8146000000,1489000000,35000000,6657000000,7213000000,8181000000,10794000000,6657000000,GOOGL
2018-12-31,USD,21358000000,39276000000,17918000000,17918000000,8221000000,7121000000,6034000000,13155000000,None,-29000000,None,29000000,40666000000,68000000,None,2580000000,10072000000,1124000000,29000000,8948000000,8318000000,10101000000,12681000000,8948000000,GOOGL
2018-09-30,USD,19459000000,33740000000,14281000000,14281000000,8625000000,5917000000,5232000000,11149000000,None,-28000000,None,28000000,34059000000,49000000,None,2355000000,10083000000,891000000,28000000,9192000000,9041000000,10111000000,12466000000,9192000000,GOOGL
2018-06-30,USD,18774000000,32657000000,13883000000,13883000000,3045000000,5782000000,5114000000,10896000000,None,-27000000,None,27000000,33145000000,49000000,None,2114000000,4215000000,1020000000,27000000,3195000000,2340000000,4242000000,6356000000,3195000000,GOOGL
2018-03-31,USD,17679000000,31146000000,13467000000,13467000000,7633000000,5639000000,5039000000,10678000000,None,-30000000,None,30000000,31122000000,212000000,None,1986000000,10543000000,1142000000,30000000,9401000000,9821000000,10573000000,12559000000,9401000000,GOOGL
2017-12-31,USD,18056000000,32323000000,14267000000,14267000000,7696000000,6086000000,4306000000,10392000000,None,-36000000,None,36000000,-20000000,43000000,None,2026000000,8018000000,11038000000,36000000,-3083000000,-3266000000,8054000000,256000000,-3020000000,GOOGL
2017-09-30,USD,16624000000,27772000000,11148000000,11148000000,7782000000,4637000000,4205000000,8842000000,None,-27000000,None,27000000,-53000000,47000000,None,1761000000,7979000000,1247000000,27000000,6701000000,7714000000,8006000000,9767000000,6732000000,GOOGL
2017-06-30,USD,15637000000,26010000000,10373000000,10373000000,4132000000,4597000000,4172000000,8769000000,None,-21000000,None,21000000,-46000000,34000000,None,1625000000,4377000000,853000000,21000000,3511000000,3965000000,4398000000,6023000000,3524000000,GOOGL
2017-03-31,USD,14955000000,24750000000,9795000000,9795000000,6568000000,4445000000,3942000000,8387000000,None,-25000000,None,25000000,-2000000,34000000,None,1503000000,6819000000,1393000000,25000000,5377000000,5659000000,6844000000,8347000000,5426000000,GOOGL
2016-12-31,USD,15403000000,26064000000,10661000000,10661000000,6639000000,5142000000,3622000000,8764000000,None,-33000000,None,33000000,-38000000,35000000,None,1687000000,6857000000,1524000000,33000000,5542000000,3963000000,6890000000,8577000000,5333000000,GOOGL
2021-09-30,USD,34622000000,110212000000,75590000000,62930000000,4852000000,10163000000,14380000000,12660000000,119000000,-493000000,119000000,493000000,110705000000,-163000000,None,2497000000,4311000000,1155000000,493000000,3156000000,2606000000,4804000000,7301000000,3156000000,AMZN
2021-06-30,USD,36408000000,112755000000,76347000000,64176000000,7702000000,9682000000,13871000000,12171000000,106000000,-435000000,106000000,435000000,113190000000,1261000000,None,2489000000,8646000000,868000000,435000000,7778000000,7919000000,9081000000,11570000000,7778000000,AMZN
2021-03-31,USD,35035000000,108088000000,73053000000,62403000000,8865000000,8194000000,12488000000,10650000000,105000000,-399000000,105000000,399000000,108487000000,1697000000,None,2456000000,10263000000,2156000000,399000000,8107000000,7621000000,10662000000,13118000000,8107000000,AMZN
2020-12-31,USD,125555000000,125555000000,102441000000,79284000000,6873000000,20271000000,12049000000,24557000000,100000000,-414000000,100000000,414000000,125555000000,1206000000,None,2886000000,7788000000,566000000,414000000,7199000000,8071000000,8202000000,11088000000,7222000000,AMZN
2020-09-30,USD,29309000000,95717000000,66408000000,57106000000,6194000000,7102000000,10976000000,9302000000,118000000,-428000000,118000000,428000000,96145000000,925000000,None,2200000000,6900000000,569000000,428000000,6331000000,6757000000,7328000000,9528000000,6331000000,AMZN
2020-06-30,USD,27895000000,88509000000,60614000000,52660000000,5843000000,5925000000,10388000000,7954000000,135000000,-403000000,135000000,403000000,88912000000,646000000,None,2029000000,6227000000,984000000,403000000,5243000000,5851000000,6630000000,8659000000,5243000000,AMZN
2020-03-31,USD,22619000000,75050000000,52431000000,44257000000,3989000000,6280000000,9325000000,8174000000,202000000,-402000000,202000000,402000000,75452000000,-406000000,None,1894000000,3279000000,744000000,402000000,2535000000,1458000000,3681000000,5575000000,2535000000,AMZN
2019-12-31,USD,87437000000,87437000000,75900000000,53977000000,3879000000,18583000000,9740000000,22988000000,211000000,-455000000,211000000,455000000,87437000000,418000000,None,3340000000,4054000000,786000000,455000000,3267000000,3711000000,4509000000,7849000000,3268000000,AMZN
2019-09-30,USD,19574000000,69585000000,50011000000,41302000000,3157000000,6100000000,9200000000,8764000000,224000000,-396000000,224000000,396000000,69981000000,-353000000,None,2609000000,2628000000,494000000,396000000,2134000000,1665000000,3024000000,5633000000,2134000000,AMZN
2019-06-30,USD,18721000000,63021000000,44300000000,36337000000,3084000000,5561000000,9065000000,8049000000,215000000,-383000000,215000000,383000000,63404000000,-27000000,None,2402000000,2882000000,257000000,383000000,2625000000,2675000000,3265000000,5667000000,2625000000,AMZN
2019-03-31,USD,20582000000,59339000000,38757000000,33920000000,4420000000,4837000000,7927000000,4837000000,183000000,-366000000,-183000000,366000000,59700000000,164000000,None,2307000000,4397000000,836000000,366000000,3561000000,3586000000,4763000000,7070000000,3561000000,AMZN
2018-12-31,USD,72383000000,72383000000,59490000000,44786000000,3786000000,14229000000,7669000000,15667000000,150000000,-387000000,None,387000000,72383000000,-199000000,None,4262000000,3354000000,327000000,387000000,3023000000,3030000000,3741000000,8003000000,3027000000,AMZN
2018-09-30,USD,18871000000,56218000000,37347000000,33003000000,3724000000,4344000000,7162000000,4412000000,117000000,-358000000,None,358000000,56576000000,-93000000,None,3778000000,3391000000,508000000,358000000,2883000000,2783000000,3749000000,7527000000,2883000000,AMZN
2018-06-30,USD,17899000000,52543000000,34644000000,30632000000,2983000000,4012000000,7247000000,4092000000,94000000,-343000000,None,343000000,52886000000,-129000000,None,3630000000,2608000000,74000000,343000000,2534000000,2067000000,2951000000,6581000000,2534000000,AMZN
2018-03-31,USD,16211000000,50712000000,34501000000,30735000000,1927000000,3766000000,6759000000,3829000000,80000000,-330000000,None,330000000,51042000000,239000000,None,3671000000,1916000000,287000000,330000000,1629000000,1646000000,2246000000,5917000000,1629000000,AMZN
2017-12-31,USD,60453000000,60453000000,43345000000,38495000000,2127000000,4484000000,6314000000,5535000000,65000000,-338000000,None,338000000,60453000000,17000000,None,3498000000,1872000000,16000000,338000000,1856000000,1874000000,2210000000,5707000000,1856000000,AMZN
2017-09-30,USD,12528000000,43516000000,30988000000,27549000000,347000000,3439000000,5944000000,3484000000,54000000,-228000000,None,228000000,43744000000,143000000,None,2912000000,314000000,58000000,228000000,256000000,361000000,542000000,3454000000,256000000,AMZN
2017-06-30,USD,11258000000,37812000000,26554000000,23451000000,628000000,3103000000,5549000000,3169000000,44000000,-143000000,None,143000000,37955000000,137000000,None,2633000000,664000000,467000000,143000000,197000000,387000000,807000000,3440000000,197000000,AMZN
2017-03-31,USD,7985000000,35575000000,27590000000,22440000000,1005000000,2715000000,4813000000,5194000000,39000000,-139000000,None,139000000,35714000000,48000000,None,2435000000,953000000,229000000,139000000,724000000,912000000,1092000000,3527000000,724000000,AMZN
2016-12-31,USD,43741000000,43741000000,32253000000,28959000000,1255000000,997000000,4544000000,3779000000,29000000,-133000000,None,133000000,None,15000000,None,2297000000,1163000000,414000000,133000000,752000000,285000000,1296000000,3593000000,749000000,AMZN
2021-09-30,USD,3660000000,13757000000,10097000000,35000000,2004000000,994000000,611000000,1656000000,10000000,-126000000,10000000,126000000,-7000000,-6000000,495000000,761000000,1841000000,223000000,126000000,1659000000,1532000000,1967000000,2728000000,1618000000,TSLA
2021-06-30,USD,2884000000,11958000000,9074000000,36000000,1312000000,973000000,576000000,1572000000,11000000,-75000000,11000000,75000000,1000000,45000000,461000000,681000000,1257000000,115000000,75000000,1178000000,1205000000,1332000000,2013000000,1142000000,TSLA
2021-03-31,USD,2215000000,10389000000,8174000000,75000000,594000000,1056000000,666000000,1621000000,10000000,-99000000,10000000,99000000,-2000000,28000000,424000000,621000000,507000000,69000000,99000000,464000000,218000000,606000000,1227000000,438000000,TSLA
2020-12-31,USD,2066000000,10744000000,8678000000,149000000,575000000,969000000,522000000,1491000000,6000000,-246000000,6000000,246000000,-125000000,44000000,440000000,618000000,353000000,83000000,351000000,2066000000,508000000,599000000,1186000000,270000000,TSLA
2020-09-30,USD,2063000000,8771000000,6708000000,52000000,809000000,888000000,366000000,1254000000,6000000,-163000000,6000000,163000000,-161000000,-97000000,403000000,584000000,517000000,186000000,163000000,369000000,496000000,680000000,1264000000,331000000,TSLA
2020-06-30,USD,1267000000,6036000000,4769000000,43000000,327000000,661000000,279000000,940000000,8000000,-170000000,8000000,170000000,-24000000,-15000000,356000000,567000000,125000000,21000000,170000000,129000000,177000000,295000000,862000000,104000000,TSLA
2020-03-31,USD,1234000000,5985000000,4751000000,45000000,283000000,627000000,324000000,951000000,10000000,-169000000,10000000,169000000,-26000000,-54000000,371000000,553000000,18000000,2000000,169000000,68000000,-61000000,187000000,740000000,16000000,TSLA
2019-12-31,USD,1391000000,7384000000,5993000000,26000000,359000000,699000000,345000000,1032000000,10000000,-170000000,10000000,170000000,-131000000,-25000000,383000000,133000000,147000000,42000000,170000000,1391000000,189000000,317000000,450000000,105000000,TSLA
2019-09-30,USD,1191000000,6303000000,5112000000,51328000,261000000,596000000,334000000,930000000,15000000,-185000000,15000000,185000000,-353399000,85000000,353000000,78000000,169000000,26000000,185000000,150000000,29000000,354000000,432000000,143000000,TSLA
2019-06-30,USD,921000000,6350000000,5429000000,34829000,-167000000,647000000,324000000,1088000000,10362000,-171979000,21000,172000000,208362000,-41000000,335000000,578572000,-389000000,19000000,171979000,-389262000,-379000000,-217000000,361648000,-408000000,TSLA
